SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 10 18:45:08 CST 2016
User: lahernandez
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: MAYP112250
Integration Time (usec): 100000 (MAYP112250)
Spectra Averaged: 30 (MAYP112250)
Boxcar Smoothing: 0 (MAYP112250)
Correct for Electrical Dark: No (MAYP112250)
Strobe/Lamp Enabled: No (MAYP112250)
Correct for Detector Non-linearity: Yes (MAYP112250)
Correct for Stray Light: No (MAYP112250)
Number of Pixels in Processed Spectrum: 2068
>>>>>Begin Processed Spectral Data<<<<<
189.52	-0.028
189.64	-0.032
189.76	-0.033
189.87	-0.029
189.99	0.085
190.11	0.286
190.23	0.453
190.34	0.482
190.46	0.482
190.58	0.488
190.70	0.491
190.81	0.496
190.93	0.499
191.05	0.508
191.17	0.507
191.28	0.515
191.40	0.511
191.52	0.513
191.64	0.522
191.75	0.515
191.87	0.520
191.99	0.522
192.11	0.521
192.22	0.525
192.34	0.532
192.46	0.536
192.58	0.532
192.69	0.542
192.81	0.548
192.93	0.546
193.04	0.549
193.16	0.551
193.28	0.552
193.40	0.560
193.51	0.557
193.63	0.561
193.75	0.558
193.87	0.562
193.98	0.566
194.10	0.569
194.22	0.570
194.34	0.572
194.45	0.571
194.57	0.572
194.69	0.576
194.80	0.579
194.92	0.584
195.04	0.586
195.16	0.578
195.27	0.589
195.39	0.590
195.51	0.591
195.62	0.592
195.74	0.594
195.86	0.595
195.98	0.597
196.09	0.599
196.21	0.600
196.33	0.598
196.44	0.602
196.56	0.602
196.68	0.603
196.80	0.604
196.91	0.604
197.03	0.604
197.15	0.609
197.26	0.610
197.38	0.605
197.50	0.611
197.62	0.613
197.73	0.617
197.85	0.614
197.97	0.614
198.08	0.614
198.20	0.618
198.32	0.614
198.43	0.617
198.55	0.617
198.67	0.622
198.79	0.624
198.90	0.620
199.02	0.620
199.14	0.621
199.25	0.626
199.37	0.621
199.49	0.619
199.60	0.625
199.72	0.627
199.84	0.624
199.95	0.628
200.07	0.627
200.19	0.625
200.30	0.629
200.42	0.628
200.54	0.627
200.65	0.622
200.77	0.624
200.89	0.628
201.01	0.627
201.12	0.627
201.24	0.627
201.36	0.627
201.47	0.629
201.59	0.627
201.71	0.627
201.82	0.630
201.94	0.624
202.06	0.628
202.17	0.630
202.29	0.631
202.41	0.626
202.52	0.627
202.64	0.625
202.76	0.622
202.87	0.624
202.99	0.628
203.11	0.623
203.22	0.623
203.34	0.624
203.46	0.620
203.57	0.623
203.69	0.619
203.81	0.618
203.92	0.618
204.04	0.616
204.16	0.616
204.27	0.615
204.39	0.617
204.50	0.617
204.62	0.618
204.74	0.614
204.85	0.611
204.97	0.610
205.09	0.611
205.20	0.609
205.32	0.605
205.44	0.605
205.55	0.605
205.67	0.606
